Pfam	Domain	Description
PF04195	Transposase_28	Putative gypsy type transposon
PF14203	TTRAP	Putative tranposon-transfer assisting protein
PF04986	Y2_Tnp	Putative transposase
PF07282	OrfB_Zn_ribbon	Putative transposase DNA-binding domain
PF13340	DUF4096	Putative transposase of IS4/5 family (DUF4096)
PF04754	Transposase_31	Putative transposase, YhgA-like
PF09853	DUF2080	Putative transposon-encoded protein (DUF2080)
PF16770	RTT107_BRCT_5	Regulator of Ty1 transposition protein 107 BRCT domain
PF16771	RTT107_BRCT_6	Regulator of Ty1 transposition protein 107 BRCT domain
PF03732	Retrotrans_gag	Retrotransposon gag protein
PF07999	RHSP	Retrotransposon hot spot protein
PF12382	Peptidase_A2E	Retrotransposon peptidase
PF00078	RVT_1	Reverse transcriptase (RNA-dependent DNA polymerase)
PF07727	RVT_2	Reverse transcriptase (RNA-dependent DNA polymerase)
PF13456	RVT_3	Reverse transcriptase-like
PF07592	DDE_Tnp_ISAZ013	Rhodopirellula transposase DDE domain
PF11427	HTH_Tnp_Tc3_1	Tc3 transposase
PF04236	Transp_Tc5_C	Tc5 transposase C-terminal domain
PF03221	HTH_Tnp_Tc5	Tc5 transposase DNA-binding domain
PF13542	HTH_Tnp_ISL3	Helix-turn-helix domain of transposase family ISL3
PF01527	HTH_Tnp_1	Transposase
PF01548	DEDD_Tnp_IS110	Transposase
PF01610	DDE_Tnp_ISL3	Transposase
PF01710	HTH_Tnp_IS630	Transposase
PF01359	Transposase_1	Transposase (partial DDE domain)
PF13007	LZ_Tnp_IS66	Transposase C of IS166 homeodomain
PF01609	DDE_Tnp_1	Transposase DDE domain
PF13612	DDE_Tnp_1_3	Transposase DDE domain
PF13586	DDE_Tnp_1_2	Transposase DDE domain
PF13737	DDE_Tnp_1_5	Transposase DDE domain
PF13751	DDE_Tnp_1_6	Transposase DDE domain
PF13701	DDE_Tnp_1_4	Transposase DDE domain group 1
PF14706	Tnp_DNA_bind	Transposase DNA-binding
PF05598	DUF772	Transposase domain (DUF772)
PF02992	Transposase_21	Transposase family tnp2
PF02371	Transposase_20	Transposase IS116/IS110/IS902 family
PF01797	Y1_Tnp	Transposase IS200 like
PF13843	DDE_Tnp_1_7	Transposase IS4
PF03050	DDE_Tnp_IS66	Transposase IS66 family
PF12017	Tnp_P_element	Transposase protein
PF02281	Dimer_Tnp_Tn5	Transposase Tn5 dimerisation domain
PF14319	Zn_Tnp_IS91	Transposase zinc-binding domain
PF12760	Zn_Tnp_IS1595	Transposase zinc-ribbon domain
PF13963	Transpos_assoc	Transposase-associated domain
PF00872	Transposase_mut	Transposase, Mutator family
PF14198	TnpV	Transposon-encoded protein TnpV
PF14202	TnpW	Transposon-encoded protein TnpW
PF01498	HTH_Tnp_Tc3_2	Transposase
PF01526	DDE_Tnp_Tn3	Tn3 transposase DDE domain
PF11426	Tn7_TnsC_Int	Tn7 transposition regulator TnsC
PF15978	TnsD	Tn7-like transposition protein D
PF12596	Tnp_P_element_C	87kDa Transposase
PF09299	Mu-transpos_C	Mu transposase, C-terminal
PF03108	DBD_Tnp_Mut	MuDR family transposase
PF10551	MULE	MULE transposase domain
PF12384	Peptidase_A2B	Ty3 transposon peptidase
PF01021	TYA	TYA transposon protein
PF06122	TraH	Conjugative relaxosome accessory transposon protein
PF12642	TpcC	Conjugative transposon protein TcpC
PF10626	TraO	Conjugative transposon protein TraO
PF09035	Tn916-Xis	Excisionase from transposon Tn916
PF14223	Retrotran_gag_2	gag-polypeptide of LTR copia-type
PF14244	Retrotran_gag_3	gag-polypeptide of LTR copia-type
PF12762	DDE_Tnp_IS1595	ISXO2-like transposase domain
PF02994	Transposase_22	L1 transposable element
PF13005	zf-IS66	zinc-finger binding domain of transposase IS66
PF14690	zf-ISL3	zinc-finger of transposase IS204/IS1001/IS1096/IS1165
PF03004	Transposase_24	Plant transposase (Ptta/En/Spm family)
PF04827	Plant_tran	Plant transposon protein
PF01385	OrfB_IS605	Probable transposase
PF10599	Nup_retrotrp_bd	Retro-transposon transporting motif
PF03017	Transposase_23	TNP1/EN/SPM transposase
PF10683	DBD_Tnp_Hermes	Hermes transposase DNA-binding domain
